key,en,da,es,fr,nl,no,pt-BR,sv,zh-Hans,cy,th
instructor_quiz_statistics,https://community.canvaslms.com/t5/Instructor-Guide/Once-I-publish-a-quiz-what-kinds-of-quiz-statistics-are/ta-p/659,https://community.canvaslms.com/t5/Dansk-Instrukt%C3%B8r-Guide/N%C3%A5r-jeg-har-offentliggjort-min-quiz-hvilke-typer-af-quiz/ta-p/440257,https://community.canvaslms.com/t5/Gu%C3%ADa-del-Instructor/Una-vez-que-haya-publicado-mi-evaluaci%C3%B3n-qu%C3%A9-tipos-de/ta-p/2287,https://community.canvaslms.com/t5/Francais-Guide-de-l-instructeur/Une-fois-que-j-ai-publi%C3%A9-mon-questionnaire-quels-types-de/ta-p/439406,https://community.canvaslms.com/t5/Nederlands-Instructeur-Gids/Welke-toetsstatistieken-zijn-er-beschikbaar-nadat-ik-een-toets/ta-p/440000,https://community.canvaslms.com/t5/Norsk-Instrukt%C3%B8r-Guiden/Hva-slags-statistikk-er-tilgjengelig-n%C3%A5r-jeg-har-publisert-en/ta-p/441153,https://community.canvaslms.com/t5/Guia-do-Instrutor/Uma-vez-que-eu-tenha-publicado-um-question%C3%A1rio-quais-tipos-de/ta-p/2721,https://community.canvaslms.com/t5/Svenska-Instrukt%C3%B6r-Guide/N%C3%A4r-jag-har-publicerat-en-quiz-vilken-quiz-statistik-finns/ta-p/442024,https://community.canvaslms.com/t5/%E6%8C%87%E5%8D%97%E4%B8%AD%E6%96%87%E7%89%88-%E8%AE%B2%E5%B8%88%E6%8C%87%E5%8D%97-instructor/%E4%B8%80%E6%97%A6%E6%B5%8B%E9%AA%8C%E5%8F%91%E5%B8%83%E5%90%8E-%E6%9C%89%E5%93%AA%E7%B1%BB%E6%B5%8B%E9%AA%8C%E7%BB%9F%E8%AE%A1%E6%95%B0%E6%8D%AE%E5%8F%AF%E4%BE%9B%E4%BD%BF%E7%94%A8/ta-p/440587,https://community.canvaslms.com/t5/Gymraeg-Canllaw-Addysgwyr/Ar-%C3%B4l-i-mi-gyhoeddi-cwis-pa-fath-o-ystadegau-cwis-fydd-ar-gael/ta-p/441818,
admin_hangouts_meet_lti,https://community.canvaslms.com/t5/Admin-Group/Google-Hangouts-Meet-LTI/ba-p/257649,,,,,,,,,,
admin_teams_meetings,https://community.canvaslms.com/t5/Admin-Group/Microsoft-Teams-Meetings-in-Canvas/ba-p/256340,,,,,,,,,,
admin_zoom_meetings_faq,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826,,,,,,,,,,
admin_zoom_meetings_faq_start,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--1170907065,,,,,,,,,,
admin_zoom_meetings_faq_add,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--1295024148,,,,,,,,,,
admin_zoom_meetings_faq_storage,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--1387179659,,,,,,,,,,
admin_zoom_meetings_faq_camera,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--1619578790,,,,,,,,,,
admin_zoom_meetings_faq_record,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--1980253691,,,,,,,,,,
admin_zoom_meetings_faq_participants,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--237443356,,,,,,,,,,
admin_zoom_meetings_faq_invite,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--361560439,,,,,,,,,,
admin_zoom_meetings_faq_mute,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId--810232164,,,,,,,,,,
admin_zoom_meetings_faq_screenshare,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId-123231545,,,,,,,,,,
admin_zoom_meetings_faq_share_record,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId-1866041880,,,,,,,,,,
admin_zoom_meetings_faq_schedule,https://community.canvaslms.com/t5/Admin-Group/Using-Zoom-with-Canvas-FAQ/ba-p/261826#toc-hId-447786187,,,,,,,,,,
admin_add_course,https://community.canvaslms.com/t5/Admin-Guide/How-do-I-add-a-course-in-an-account-as-an-admin/ta-p/158,https://community.canvaslms.com/t5/Dansk-Administrator-Guide/Hvordan-tilf%C3%B8jer-jeg-et-fag-i-en-konto-som-administrator/ta-p/473320,https://community.canvaslms.com/t5/Gu%C3%ADa-de-Administraci%C3%B3n/C%C3%B3mo-agrego-un-curso-en-una-cuenta-como-administrador/ta-p/472991,https://community.canvaslms.com/t5/Francais-Guide-de-l/Comment-ajouter-un-cours-%C3%A0-un-compte-en-tant-qu-administrateur/ta-p/473393,https://community.canvaslms.com/t5/Nederlands-Beheerders-Gids/Hoe-voeg-ik-als-beheerder-een-cursus-toe-aan-een-account/ta-p/473261,https://community.canvaslms.com/t5/Norsk-Administrator-Guiden/Hvordan-legger-jeg-til-et-emne-i-kontoen-som-admin/ta-p/473433,https://community.canvaslms.com/t5/Guia-do-Administrador/Como-adiciono-um-curso-a-uma-conta-como-administrador/ta-p/473142,https://community.canvaslms.com/t5/Svenska-Administrat%C3%B6r-Guide/Hur-l%C3%A4gger-jag-till-en-kurs-i-ett-konto-som-administrat%C3%B6r/ta-p/473429,https://community.canvaslms.com/t5/%E6%8C%87%E5%8D%97%E4%B8%AD%E6%96%87%E7%89%88-%E7%AE%A1%E7%90%86%E5%91%98%E6%8C%87%E5%8D%97-admin/%E4%BD%9C%E4%B8%BA%E7%AE%A1%E7%90%86%E5%91%98-%E6%88%91%E8%AF%A5%E5%A6%82%E4%BD%95%E5%9C%A8%E5%B8%90%E6%88%B7%E4%B8%AD%E6%B7%BB%E5%8A%A0%E8%AF%BE%E7%A8%8B/ta-p/473370,https://community.canvaslms.com/t5/Gymraeg-Canllaw-Gweinyddwyr/Sut-ydw-i-n-ychwanegu-cwrs-at-gyfrif-fel-gweinyddwr/ta-p/473343,
admin_add_users,https://community.canvaslms.com/t5/Admin-Guide/How-do-I-add-users-to-an-account/ta-p/90,https://community.canvaslms.com/t5/Dansk-Administrator-Guide/Hvordan-tilf%C3%B8jer-jeg-brugere-til-en-konto/ta-p/473322,https://community.canvaslms.com/t5/Gu%C3%ADa-de-Administraci%C3%B3n/C%C3%B3mo-agrego-usuarios-a-una-cuenta/ta-p/472994,https://community.canvaslms.com/t5/Francais-Guide-de-l/Comment-ajouter-des-utilisateurs-%C3%A0-un-compte/ta-p/473397,https://community.canvaslms.com/t5/Nederlands-Beheerders-Gids/Hoe-voeg-ik-gebruikers-toe-aan-een-account/ta-p/473260,https://community.canvaslms.com/t5/Norsk-Administrator-Guiden/Hvordan-legger-jeg-til-brukere-i-en-konto/ta-p/473432,https://community.canvaslms.com/t5/Guia-do-Administrador/Como-fa%C3%A7o-para-adicionar-usu%C3%A1rios-a-uma-conta/ta-p/473138,https://community.canvaslms.com/t5/Svenska-Administrat%C3%B6r-Guide/Hur-l%C3%A4gger-jag-till-anv%C3%A4ndare-till-ett-konto/ta-p/473426,https://community.canvaslms.com/t5/%E6%8C%87%E5%8D%97%E4%B8%AD%E6%96%87%E7%89%88-%E7%AE%A1%E7%90%86%E5%91%98%E6%8C%87%E5%8D%97-admin/%E6%88%91%E8%AF%A5%E5%A6%82%E4%BD%95%E7%BB%99%E5%B8%90%E6%88%B7%E6%B7%BB%E5%8A%A0%E7%94%A8%E6%88%B7/ta-p/473368,https://community.canvaslms.com/t5/Gymraeg-Canllaw-Gweinyddwyr/Sut-ydw-i-n-ychwanegu-defnyddwyr-at-gyfrif/ta-p/473340,
